Verb,preposition,sens
اتى,,حان-قرب-دنا
اتى,,جاء-حضر-اقبل
اتى,من,جاء-وصل
اتى,من,اصيب
اتى,ب,أقام-جاء-حضر-وصل
اتى,على,مر 
اتى,على,افنى
اتى,ل,تسهل
اتى,ل,تعرض
اتى,ل,ترفق
اتى,الى,جاء
اتى,الى,ساق
اخذ,,نهج-سلك-سار
اخذ,,اسر
اخذ,,سجن-حبس
اخذ,,استحم
اخذ,ب,سلب - فتن-ابهر-جذب
اخذ,ب,عاقب
اخذ,ب,التزم
اخذ,ب,عامل برفق و لين
اخذ,ب,اهتم 
اخذ,في,بدا
اخذ,على,منع الفعل
اخذ,على,منع الكلام
اخذ,على,عد
اخذ,على,فاجا
اخذ,على,تولى
اخذ,عن,تلقى العلم
بنى,,برهن
بنى,,شيد
بنى,على,صمم
بنى,ب,دخل 
بنى,على,دخل 
بنى,على,اعتمد-استند
تاب,,ندم
تاب,الى,رجع
تاب,على,غفر -قبل
تاه,,ضل
تاه,من,هلك
تاه,الى,تشوق
تاه,في,ضل
ثبت,,تاكد
ثبت,على,داوم-واضب
ثبت,على,تمسك
ثبت,في,اقام - استقر
ثبت,في,انفذ
ثبت,في,تأنى
ثبت,ب,شد
جزع,من,خاف
جزع,ب,اكتفى 
جزع,ل,قطع
جزع,من,حزن
جزع,على,اشفق
جزى,على,عاقب
جزى,ب,كافا
جزى,عن,قضى
جزى,عن,اغنى
اجاب,,لبى
اجاب,,انبت
اجاب,على,رد 
اجاب,الى,ارتاح 
قام,,نهض
قام,الى,تهيا-استعد
قام,ل,تولى
قام,ل,اخذ-شرع
قام,من,استيقظ
قام,ب,اضطلع 
قام,ب,اطاق
قام,على,اصلح 
قام,على,طالب
ذهب,ب,استصحب
ذهب,من,راح-مر
ذهب,في,راى 
ذهب,على,نسي
ذهب,الى,اخذ
ذهب,في,ظل
رتب,,ثبت-استقر
رتب,في,انتصب 
رتب,,انتصب
رتب,على,اقام 
رد,عن,صرف
رد,على,لم يقبل
رد,الى,ارجع
رد,على,ينفع
رد,ب,اختار
رضي,على,قنع 
رضي,ل,اختار
رضي,عن,قبل
رضي,ل,حفظ
رعى,على,يرعى الغنم
رعى,,اكل
رغب,عن,اعرض-زهد
رغب,الى,ابتهل
رغب, عن,كره
رغب,عن,ترفع
اسف,ل,تالم-ندم
اسف,ل,حزن-ندم
اسف,على,غضب
اوى,الى,جاء-سكن
اوى,ل,رحم
اوى,الى,ضم
اوى,عن,ترك
اوى,الى,ذهب
بحث,عن,استقصى
بحث,في,حفر 
بحث,عن,فتش-سال
بحث,,اجتهد
برح,من,زال
برح,ب,اتعب-اجهد
برح,ب,اعجب-بالغ
برح,عن,كشف
برح,,غضب
بسط,على,فضل
بسط,على,تسلط
بسط,في,جاوز-اعطى
بسط,,عرض
بسط,,قدم
بسط,,اسهب
بسط,,فرش
بسط,,رحم-عطف-رفق
بسط,على,سيطر
بسط,ل,ساهد-اعان
بطش,ب,فتك
بطش,على,سطى-انقض
بطش,من,افاق
بطش,في,تبحر
بعث,,احيا
بعث,, ارسل بمفرده
بعث,ب,ارسل معه
بعث,على,حمل
بعث,من,ايقظ
بعث,الى,ارسل
بغى,على,اعتدى-ظلم
بغى,في,تجاوز
باء,ب,اعترف-اقر
باء,الى,رجع
باء,ب,قاد
باء,ب,اخفق
باء,ب,احتمل-اعترف
تاق,الى,اشتاق
تاق,من,اشفق-حذر
تاق,ب,جاد
تاق,ب,فاض
تاق,من,نقه
تاق,على,عطف
ثنى,,رد
ثنى,عن,صرف
ثنى,ب,جاء 
ثنى,على,مدح
ثنى,,ضاعف
جلس,,قعد
جلس,,اقام
جلس,الى,تهيا-استعد
جلس,على,تربع
جلس,,صحب-رافق
جرى,الى,اسرع-قصد
جرى,الى,نسب-فوض
جرى,في,انساب
جرى,,ابحر
جرى,,بكى
جرى,,مر-مضى
جرى,ل,حصل-وقع
جرى,على,تذكر
جرى,على,شاع-انتشر
جلب,على,جنى
جلب,ل,كسب
جلب,من,استورد
جلب,ل,سبب
جلب,الى,ادخل
جلب,,ساق
جمع,على,لبس
جمع,ل,تشدد
جمع,في,اضاف 
جمع,على,اتفق
جمع,,اضاف
جمع,ل,حشد
جمع,,الف
جمع,على,عزم
جنح,ل,مال
جنح,على,اعتمد-استند
جنح,على,اقبل
جنح,الى,تابع
جنح,,انقاد
جنح,,كسر
جاء,ب,اتى-قدم
جاء,في,اتى
جاء,ب,قاد
جاء,ب,ارتكب
جاء,,نزل
جاء,,حدث-تحقق
جاء,في,ورد
جاء,الى,قدم-اتى
حجب,عن,منع
حجب,,منع 
حجب,,ستر
حكم,على,قضى-فصل
حكم,في,فوض
حكم,عن,ارجع-منع
حكم,في,حكم-فصل
حكم,ل,نصر
حكى,عن,نقل
حكى,على,نم
حكى,,شابه
حكى,,تكلم
حكى,,روى
خاف,على,احتاط
خاف,من,خشي
خاف,من,فزع
خاف,,اتقى
خاف,,ارتعب-اضطرب
دفع,الى,ادى-رد
دفع,عن,القى
دفع,عن,رحل
دفع,,نحى-ابعد
دفع,الى,انتهى
دفع,,رد
دفع,,سدد
رسم,,خط
رسم,,كتب
رسم,,صمم-خطط
رسم,ل,وصف
رسم,في,غاب
رسم,,ذهب
رسم,على,كتب-خط
سمع,ل,اصغى
سمع,ب,فضح
سمع,,تلقى 
سمع,,استجاب
سمع,ل,اطاعه
عرض,,بسط-طرح
عرض,ل,اظهر
عرض,ل,خطر
عرض,ل,منع
عرض,على,قتل
عرض,على,احرق
عرض,,أوسع
وقف,,قام
وقف,على,نهض
وقف,,ابتعد
وقف,على,طلب-استنجد
وقف,,سكن
وقف,,عجز
وقف,ب,ترقب-ترصد
وقف,,ساند-ساعد
وقف,الى,قوى-ساعد-ساند
وقف,على,فهم-تبين
وقف,في,اعترض
وقف,عن,منع
وقف,على,اطلع
وقف,على,عرف 
تردد,,تكرر
تردد,الى,اعاد-المجيء-جاء-مجددا
تردد,في,ترجح-تراجع
تردد,في,تعلثم-تعثر-اشتبه
تردد,على,يتداول
تردد,,تراجع
تردد,,تكرر
ضحك,,انبسط
ضحك,على,سخر
ضحك,في,ابتسم-احسن-استقبال
ضحك,من ,انبسط
ضحك,على,غش-خدع
دعا,الى,حث
دعا,الى,اقتضى-تطلب
دعا,,ندب
دعا,ب,طلب
دعا,,طلب
دعا,,ابتهل-تضرع
دعا,الى,اذن
دعا,على,استضاف
دعا,على,طلب-سوء
دعا,ل,طلب-الخير
نظر,الى,ابصر
نظر,ل,رثى-اعان-اشفق
نظر,الى,تدبر-فكر
ضرب,,أصاب-صدم
ضرب,ب,اهمل-احتقر-اعرض
ضرب,ب,خلط
ضرب,على,كتب
ضرب,على,عزف
ضرب,,قتل
ضرب,ب,القى
ضرب,في,أصاب-عدم
كتب,,نسخ-خط
كتب,ل,ارسل
كتب,على,قضى-قدر
كتب,ل,ارسل
كتب,على,اوجب
علق,ب,استمسك
علق,ب,حفظ
علق,,علم
علق,في,وقع
علق,ب,تعلق-ارتبط-هام
علق,على,رجا
علق,على,اعقب
علق,,مص
هرب,في,ابعد
هرب,من,ولى
هرب,من,فر
هرب,من,تملص-تنصل
هرب,في,بالغ
هرب,,فر
اتى,,دنا-اقبل
اتى,,قال
اتى,,جاء
اتى,,جاء
اتى,,جاء
اتى,,جاء- قابل
اتى,,توجه
اتى,,قدم
اتى,,جاء
اتى,,سمع
اخذ,,حمل
اخذ,,يصطاد
اخذ,,بدا 
اخذ,, امسك
اخذ,,بدا 
اخذ,,جمع
اخذ,,قال-كتب
اخذ,,حمل
اخذ,,بدات
اخذ,,ذهب-ب
بنى,,تزوج
بنى,,اقام
بنى,,شيد
بنى,,صمم
بنى,,اقام- برهن
بنى,,شيد
بنى,,رسم
بنى,,اسس
بنى,,شيد
بنى,,شيد
تاب,,رجع
تاب,,غفر
تاب,,ندم
تاب,,ندم-ابتعد-ترك
تاب,,ندم-عاد
تاب,,عاد-رجع
تاب,,استغفر- رجع
تاب,,ندم-ترك
تاب,,ندم
تاب,,رجع
تاه,,تحير
تاه,,ضاع- ضل
تاه,,اخطا-ضل
تاه,,ضل
تاه,,اغتر-افتخر
تاه,,فقد- ضاع
تاه,,هلك
تاه,,تكبر
تاه,,تشتت
تاه,,ضاع
ثبت,,تاكد
ثبت,,نتج
ثبت,,اكد
ثبت,,كشف- تاكد
ثبت,,برهن
ثبت,,تمسك- صمم
ثبت,,عزم-حزم
ثبت,,اكد-برهن
ثبت,,ربط-شد
ثبت,,تاكد
جزع,,غضب-قلق
جزع,,حزن
جزع,,حزن
جزع,,خاف
جزع,,حزن-نحب
جزع,,غضب
جزع,,اظطرب
جزع,,حزن
جزع,,توجع-تالم
جزع,,قلق-اظطرب
جزى,,كافا
جزى,,كافا-اعطى
جزى,,اثاب
جزى,,اثاب-كافا
جزى,,قابل
جزى,,اثاب
جزى,,كفى
